"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.481025000E-1,3.900007904E-1,-6.246891245E-2,8.227499574E-2
1.501037660E-1,3.924442828E-1,-4.719728231E-2,7.983153313E-2
1.521059660E-1,3.869464695E-1,-3.131478652E-2,8.105327189E-2
1.541072660E-1,3.887790740E-1,-2.031921037E-2,7.127942145E-2
1.561085990E-1,3.936659992E-1,-1.176709775E-2,7.311201841E-2
1.581099320E-1,3.967203498E-1,9.613187052E-3,7.189028710E-2
1.601112650E-1,4.009963572E-1,1.388924289E-2,6.944682449E-2
1.621123310E-1,4.064941704E-1,2.427395247E-2,7.066855580E-2
1.641137310E-1,4.107702374E-1,3.526952863E-2,6.700336188E-2
1.661151310E-1,4.113810956E-1,5.115202442E-2,5.478606001E-2
1.681165310E-1,4.156571329E-1,5.542808026E-2,4.928827286E-2
1.701179310E-1,4.168788791E-1,6.092586368E-2,4.806654528E-2
1.721196310E-1,4.187114835E-1,5.787153915E-2,4.989913851E-2
1.741210310E-1,4.168788791E-1,5.542808026E-2,5.356433243E-2
1.761224310E-1,4.144354165E-1,5.115202442E-2,5.845125020E-2
1.781238310E-1,4.089376330E-1,4.993029311E-2,6.028384715E-2
1.801249310E-1,4.150463045E-1,4.993029311E-2,6.761422753E-2
1.821263310E-1,3.961094618E-1,5.603894591E-2,6.028384715E-2
1.841277310E-1,3.924442828E-1,4.931942746E-2,5.356433243E-2
1.861291310E-1,3.808378279E-1,3.771298751E-2,4.684481025E-2
1.881305310E-1,3.851138949E-1,4.115399439E-3,4.012529552E-2
1.901319310E-1,3.832812905E-1,-8.712771349E-3,3.218404949E-2
1.921333310E-1,3.802269697E-1,-3.620170429E-2,2.790798992E-2
1.941347310E-1,3.887790740E-1,-6.857756525E-2,2.485366166E-2
1.961361310E-1,3.832812905E-1,-7.774055004E-2,2.057760581E-2
1.981375310E-1,3.845030069E-1,-9.484477341E-2,2.241020277E-2
2.001386310E-1,3.851138949E-1,-1.040077507E-1,1.630154997E-2
2.021392310E-1,3.893899620E-1,-1.229445711E-1,1.507981960E-2
2.041402970E-1,3.863356113E-1,-1.363836080E-1,1.446895394E-2
2.061417300E-1,3.881682158E-1,-1.492117792E-1,1.569068432E-2
2.081431300E-1,3.961094618E-1,-1.663160026E-1,1.202549320E-2
2.101445300E-1,3.979420364E-1,-1.834202260E-1,1.446895394E-2
2.121450300E-1,3.967203498E-1,-1.919723451E-1,1.813414507E-2
2.141464300E-1,4.022181034E-1,-2.054113746E-1,1.813414507E-2
2.161478300E-1,4.058833122E-1,-2.292351276E-1,2.668625861E-2
2.181492630E-1,4.089376330E-1,-2.426741570E-1,3.096231632E-2
2.201506630E-1,4.016072452E-1,-2.689413726E-1,4.134702682E-2
2.221522630E-1,4.034398496E-1,-2.762717605E-1,4.867740721E-2
2.241536290E-1,4.016072452E-1,-3.043715656E-1,6.517077237E-2
2.261548950E-1,3.936659992E-1,-3.306387663E-1,7.433374971E-2
2.281608280E-1,3.838921487E-1,-3.514081836E-1,8.349672705E-2
2.301621280E-1,3.851138949E-1,-3.593494296E-1,9.204884619E-2
2.321633940E-1,3.722856939E-1,-3.782862425E-1,1.042661443E-1
2.341646600E-1,3.667879403E-1,-3.929470181E-1,1.067096069E-1
2.361661600E-1,3.625118732E-1,-4.161598682E-1,1.189269125E-1
2.381674260E-1,3.466293514E-1,-4.436488450E-1,1.329768002E-1
2.401689920E-1,3.399098516E-1,-4.607530534E-1,1.348094046E-1
2.421700580E-1,3.221947551E-1,-4.906854630E-1,1.470267177E-1
2.441713910E-1,3.093666136E-1,-5.261156559E-1,1.537462324E-1
2.461727240E-1,3.014253676E-1,-5.419980884E-1,1.549679637E-1
2.481740240E-1,2.855428457E-1,-5.682653189E-1,1.616874784E-1
2.501757570E-1,2.751581371E-1,-5.865913033E-1,1.635200828E-1
2.521770900E-1,2.586647570E-1,-6.134693623E-1,1.665744036E-1
