"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.841977330E-1,8.334470749E0,-5.315290093E-1,-2.248224020E0
2.861990660E-1,8.370385170E0,-5.291347504E-1,-2.262589693E0
2.882004320E-1,8.423058510E0,-5.027977228E-1,-2.317657948E0
2.902017650E-1,8.478127480E0,-4.812492430E-1,-2.363149166E0
2.922030980E-1,8.502069473E0,-4.692778587E-1,-2.387091875E0
2.942045310E-1,8.564320564E0,-4.692778587E-1,-2.415823221E0
2.962058640E-1,8.621783257E0,-4.884320498E-1,-2.451737404E0
2.982071970E-1,8.640937805E0,-4.980091453E-1,-2.454131603E0
3.002085630E-1,8.643332481E0,-4.884320498E-1,-2.473285913E0
3.022098960E-1,8.650514603E0,-5.004034638E-1,-2.494834423E0
3.042112290E-1,8.655303001E0,-5.075862408E-1,-2.492439985E0
3.062125620E-1,8.655303001E0,-5.435003638E-1,-2.521171331E0
3.082138950E-1,8.655303001E0,-5.363175869E-1,-2.523565531E0
3.102152280E-1,8.605023384E0,-5.578660369E-1,-2.537931204E0
3.122165610E-1,8.571503639E0,-5.578660369E-1,-2.557085514E0
3.142178940E-1,8.537983894E0,-5.482889414E-1,-2.552296877E0
3.162192600E-1,8.518829346E0,-5.147690773E-1,-2.559479713E0
3.182210260E-1,8.490098000E0,-5.339232683E-1,-2.566662550E0
3.202223590E-1,8.454184532E0,-5.004034638E-1,-2.583422422E0
3.222233920E-1,8.466156006E0,-5.051919818E-1,-2.571451187E0
3.242247250E-1,8.461367607E0,-5.123748183E-1,-2.581028223E0
3.262256250E-1,8.437424660E0,-5.435003638E-1,-2.581028223E0
3.282267250E-1,8.444606781E0,-5.842030644E-1,-2.595393896E0
3.302280580E-1,8.447001457E0,-5.961744189E-1,-2.592999697E0
3.322294910E-1,8.439818382E0,-6.033572555E-1,-2.602576733E0
3.362281900E-1,8.454184532E0,-5.913859010E-1,-2.612153769E0
3.382298230E-1,8.463761330E0,-5.937801600E-1,-2.643279314E0
3.402311890E-1,8.487704277E0,-6.201171875E-1,-2.657644987E0
3.422325220E-1,8.478127480E0,-6.225114465E-1,-2.676799297E0
3.442338550E-1,8.497281075E0,-6.344828010E-1,-2.722290516E0
3.462352210E-1,8.521224022E0,-6.273000240E-1,-2.751021862E0
3.482365540E-1,8.523618698E0,-6.201171875E-1,-2.813272953E0
3.502379200E-1,8.557138443E0,-6.488484740E-1,-2.842004299E0
3.522393860E-1,8.588263512E0,-6.584255695E-1,-2.868341208E0
3.542407190E-1,8.626572609E0,-6.751855016E-1,-2.909043789E0
3.562420520E-1,8.650514603E0,-6.703969240E-1,-2.940169573E0
3.582434180E-1,8.664880753E0,-6.536370516E-1,-2.947352171E0
3.602444180E-1,8.710371971E0,-6.823683381E-1,-2.995237827E0
3.622457510E-1,8.746285439E0,-6.847625971E-1,-3.023969173E0
3.642473170E-1,8.763046265E0,-6.871568561E-1,-3.035940409E0
3.662486500E-1,8.837267876E0,-7.134938836E-1,-3.081431627E0
3.682499830E-1,8.887548447E0,-7.278595567E-1,-3.071854591E0
3.702513490E-1,8.925856590E0,-7.302538157E-1,-3.105374336E0
3.722526820E-1,8.966559410E0,-7.398309112E-1,-3.105374336E0
3.742540150E-1,9.002472878E0,-7.470137477E-1,-3.112557173E0
3.762553480E-1,9.031204224E0,-7.685621977E-1,-3.117345810E0
3.782562480E-1,9.038387299E0,-7.853221297E-1,-3.124528646E0
3.802575810E-1,9.059935570E0,-7.853221297E-1,-3.158048391E0
3.822592470E-1,9.076695442E0,-7.877163887E-1,-3.193962574E0
3.842605800E-1,9.064723969E0,-7.829278708E-1,-3.227482557E0
3.862619460E-1,9.064723969E0,-7.877163887E-1,-3.241847992E0
3.882635460E-1,9.067118645E0,-7.637736797E-1,-3.265790939E0
3.902648790E-1,9.043175697E0,-7.781392932E-1,-3.282550812E0
3.922661450E-1,9.031204224E0,-7.781392932E-1,-3.282550812E0
3.942664780E-1,9.000079155E0,-7.877163887E-1,-3.306493521E0
3.962678110E-1,8.968953133E0,-7.398309112E-1,-3.325647593E0
3.982691770E-1,8.937828064E0,-7.278595567E-1,-3.354378939E0
4.002705100E-1,8.894730568E0,-7.206767201E-1,-3.363956213E0
