"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.801925350E-1,4.764606953E0,-2.346389294E-1,-2.600182533E0
2.821939010E-1,4.733481407E0,-2.537931204E-1,-2.592999697E0
2.841952670E-1,4.719115734E0,-2.202732861E-1,-2.604970932E0
2.861966000E-1,4.695172787E0,-2.394274771E-1,-2.695953369E0
2.881979330E-1,4.711932659E0,-2.585816681E-1,-2.820455790E0
2.901992660E-1,4.735875607E0,-2.513988614E-1,-2.873129845E0
2.922017320E-1,4.745452881E0,-2.753416002E-1,-2.952140808E0
2.942030650E-1,4.752635479E0,-2.729473412E-1,-2.988054991E0
2.962044310E-1,4.771789551E0,-2.705530524E-1,-2.997632027E0
2.982057640E-1,4.814886570E0,-2.944957912E-1,-3.026363373E0
3.002070970E-1,4.831646442E0,-2.968900800E-1,-3.014391899E0
3.022084630E-1,4.869955063E0,-2.729473412E-1,-3.081431627E0
3.042098290E-1,4.951360226E0,-2.490045726E-1,-3.002420664E0
3.062111950E-1,4.963331699E0,-2.394274771E-1,-2.980872154E0
3.082125950E-1,5.039948463E0,-2.298503816E-1,-2.968900681E0
3.102139610E-1,5.066285610E0,-2.490045726E-1,-2.992843628E0
3.122152940E-1,5.152479172E0,-2.537931204E-1,-3.045517445E0
3.162127600E-1,5.269798756E0,-2.729473412E-1,-3.067065954E0
3.202124590E-1,5.470917702E0,-2.466102988E-1,-2.978477955E0
3.222138250E-1,5.511620522E0,-2.274561077E-1,-2.944957972E0
3.242151580E-1,5.616968632E0,-2.537931204E-1,-2.885101080E0
3.262167910E-1,5.724710941E0,-2.681587934E-1,-2.901860952E0
3.282181570E-1,5.779779434E0,-2.681587934E-1,-2.925803900E0
3.302197570E-1,5.873156071E0,-2.609759569E-1,-2.925803900E0
3.322211570E-1,5.916253090E0,-2.226675600E-1,-2.937775135E0
3.342227900E-1,6.004841328E0,-2.250618339E-1,-2.947352171E0
3.362241560E-1,6.057515144E0,-1.963305324E-1,-2.964112282E0
3.382255220E-1,6.105400562E0,-2.035133541E-1,-2.956929445E0
3.402268220E-1,6.182017326E0,-1.795706153E-1,-2.988054991E0
3.422281550E-1,6.237085819E0,-1.292908341E-1,-3.067065954E0
3.442294880E-1,6.282577038E0,-1.268965602E-1,-3.093403101E0
3.462307880E-1,6.368771076E0,-9.098244458E-2,-3.146077156E0
3.482321210E-1,6.469330311E0,-6.703969836E-2,-3.191568375E0
3.502334870E-1,6.502850533E0,-5.746259540E-2,-3.213116884E0
3.522337200E-1,6.605803967E0,-3.591412306E-2,-3.256213665E0
3.542350530E-1,6.725517750E0,-2.873129770E-2,-3.282550812E0
3.562363860E-1,6.787769318E0,-9.577099234E-3,-3.272973776E0
3.582377190E-1,6.952973843E0,2.394274808E-2,-3.253819466E0
3.602390520E-1,7.010436535E0,4.549122229E-2,-3.241847992E0
3.622403850E-1,7.158881664E0,6.225114316E-2,-3.256213665E0
3.642417180E-1,7.292961121E0,1.053480953E-1,-3.258608103E0
3.662430840E-1,7.364789486E0,1.221080124E-1,-3.256213665E0
3.682443840E-1,7.573091030E0,1.077423692E-1,-3.229876757E0
3.702456840E-1,7.699987888E0,1.173194647E-1,-3.222693920E0
3.722467500E-1,7.805335999E0,1.532335877E-1,-3.186779737E0
3.742480830E-1,8.032792091E0,1.987248063E-1,-3.155654192E0
3.762493830E-1,8.308133125E0,1.580221355E-1,-3.184385538E0
3.782562490E-1,8.437424660E0,1.628106833E-1,-3.220299721E0
3.802576150E-1,8.650514603E0,1.580221355E-1,-3.129317284E0
3.822589150E-1,8.739103317E0,1.652049571E-1,-3.107768774E0
3.842603150E-1,9.000079155E0,1.843591630E-1,-2.978477955E0
3.862616480E-1,9.450202942E0,1.843591630E-1,-3.119740009E0
3.882629480E-1,9.687235832E0,1.819648892E-1,-3.172414064E0
3.902639810E-1,9.907508850E0,1.580221355E-1,-3.186779737E0
3.922655810E-1,1.001525116E1,1.173194647E-1,-3.162837029E0
3.942669140E-1,1.011581135E1,8.379961550E-2,-3.136499882E0
3.962679470E-1,1.041749001E1,2.394274808E-2,-3.122134447E0
3.982692800E-1,1.065212822E1,-7.182824425E-3,-3.057488918E0
4.002706130E-1,1.075747681E1,-1.197137404E-2,-2.992843628E0
4.022719790E-1,1.089395046E1,3.112557158E-2,-2.959323645E0
4.042733450E-1,1.096577835E1,4.070267081E-2,-2.992843628E0
4.062747110E-1,1.103521252E1,1.675992459E-2,-3.033546209E0
4.082757770E-1,1.132731438E1,-3.112557158E-2,-3.019180536E0
4.102771100E-1,1.143026829E1,-4.788549617E-2,-2.990449190E0
4.122784430E-1,1.158350182E1,-1.197137404E-2,-2.932986736E0
4.142798090E-1,1.175349522E1,4.788549617E-2,-2.935380936E0
4.162811420E-1,1.175349522E1,1.005595401E-1,-2.940169573E0
4.182824750E-1,1.175349522E1,1.029538140E-1,-2.899466753E0
4.202838080E-1,1.187560272E1,-9.577099234E-3,-2.961717844E0
4.222913740E-1,1.190433407E1,-7.422251999E-2,-3.016786337E0
4.242928400E-1,1.189236259E1,-8.140534163E-2,-3.102980137E0
4.262938730E-1,1.200489426E1,-1.149251908E-1,-3.158048391E0
4.282952060E-1,1.209587669E1,-9.098244458E-2,-3.311282158E0
4.302965720E-1,1.220361900E1,-9.337671846E-2,-3.493247032E0
4.322982380E-1,1.220601273E1,-1.268965602E-1,-3.557892323E0
4.342995710E-1,1.215812778E1,-1.149251908E-1,-3.505218267E0
4.363009710E-1,1.215812778E1,-7.661679387E-2,-3.498035431E0
4.402980710E-1,1.234966946E1,-1.747820675E-1,-3.696760416E0
4.422994710E-1,1.228502369E1,-2.346389294E-1,-3.902667999E0
4.443008040E-1,1.227544689E1,-2.537931204E-1,-3.993650436E0
