"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.541226820E-1,-6.448293477E-2,7.145516872E-1,1.996674202E-2
1.561240150E-1,-6.448293477E-2,7.121081948E-1,2.485366166E-2
1.581253480E-1,-6.936985999E-2,7.127190828E-1,2.729712427E-2
1.601266810E-1,-7.792197168E-2,7.121081948E-1,3.096231632E-2
1.621280140E-1,-8.036543429E-2,7.169951200E-1,2.912972122E-2
1.641293470E-1,-8.525235206E-2,7.218821049E-1,3.890356421E-2
1.661309470E-1,-8.403062075E-2,7.212711573E-1,4.195788875E-2
1.701267460E-1,-9.869138896E-2,7.334885001E-1,4.928827286E-2
1.721342460E-1,-1.066326350E-1,7.444840670E-1,5.356433243E-2
1.741355790E-1,-1.060217768E-1,7.481492758E-1,5.356433243E-2
1.761404450E-1,-1.139630228E-1,7.640317678E-1,5.539692566E-2
1.781418110E-1,-1.176282093E-1,7.719730139E-1,6.150557846E-2
1.801431440E-1,-1.182390749E-1,7.774708271E-1,6.517077237E-2
1.821444770E-1,-1.328998357E-1,7.964075804E-1,6.883595884E-2
1.841460430E-1,-1.286237836E-1,7.994619608E-1,7.127942145E-2
1.861473760E-1,-1.328998357E-1,8.141227365E-1,7.433374971E-2
1.881490090E-1,-1.383976340E-1,8.214531541E-1,7.311201841E-2
1.901503750E-1,-1.390084922E-1,8.373355865E-1,8.105327189E-2
1.921517080E-1,-1.390084922E-1,8.489420414E-1,7.860980183E-2
1.941528080E-1,-1.408410966E-1,8.599376082E-1,7.677720487E-2
1.961541740E-1,-1.383976340E-1,8.703223467E-1,7.983153313E-2
1.981555400E-1,-1.396193504E-1,8.800961375E-1,8.288586140E-2
2.001568730E-1,-1.390084922E-1,8.886482716E-1,8.044239879E-2
2.021582390E-1,-1.383976340E-1,9.051416516E-1,7.860980183E-2
2.041595720E-1,-1.371759027E-1,9.210240841E-1,7.799893618E-2
2.061609050E-1,-1.310672462E-1,9.314088225E-1,7.433374971E-2
2.081620050E-1,-1.359541565E-1,9.405718446E-1,7.433374971E-2
2.101633380E-1,-1.304563731E-1,9.503456354E-1,7.005769014E-2
2.121654040E-1,-1.316781193E-1,9.595086575E-1,6.883595884E-2
2.141667040E-1,-1.280129254E-1,9.766128659E-1,6.578163058E-2
2.161678700E-1,-1.255694628E-1,9.790563583E-1,6.761422753E-2
2.181692030E-1,-1.225151345E-1,9.863867164E-1,5.845125020E-2
2.201705690E-1,-1.194608063E-1,9.973822832E-1,5.356433243E-2
2.221719020E-1,-1.212934032E-1,1.006545305E0,5.234259740E-2
2.241766020E-1,-1.170173511E-1,1.013875723E0,4.623394832E-2
2.261779350E-1,-1.090760976E-1,1.023038626E0,4.195788875E-2
2.281790350E-1,-1.115195602E-1,1.026703835E0,4.134702682E-2
2.301803680E-1,-1.072435006E-1,1.034644961E0,3.707096726E-2
2.341769010E-1,-9.869138896E-2,1.043197155E0,2.607539296E-2
2.381760670E-1,-9.991311282E-2,1.053581953E0,2.241020277E-2
2.401771670E-1,-9.869138896E-2,1.059690595E0,1.813414507E-2
2.421785330E-1,-9.380446374E-2,1.062134027E0,1.752328128E-2
2.441798660E-1,-9.197186679E-2,1.067020893E0,1.569068432E-2
2.461811990E-1,-9.013927728E-2,1.067020893E0,1.446895394E-2
2.481822650E-1,-8.891753852E-2,1.075572968E0,1.507981960E-2
2.501835980E-1,-8.891753852E-2,1.076794744E0,1.202549320E-2
2.521849310E-1,-8.647408336E-2,1.081681609E0,1.141462848E-2
2.541865310E-1,-9.075013548E-2,1.095731616E0,1.080376282E-2
2.561878640E-1,-8.708494902E-2,1.098785877E0,1.141462848E-2
2.581891640E-1,-9.136100858E-2,1.107948899E0,1.507981960E-2
2.601905300E-1,-9.197186679E-2,1.111003160E0,1.446895394E-2
2.621918630E-1,-9.563706070E-2,1.122609615E0,1.813414507E-2
2.641931960E-1,-8.830668032E-2,1.124442220E0,2.118847333E-2
2.661945620E-1,-9.808052331E-2,1.135437846E0,1.935587637E-2
2.681961620E-1,-9.136100858E-2,1.139713883E0,1.996674202E-2
2.701974950E-1,-9.013927728E-2,1.147655129E0,2.179933712E-2
2.721981280E-1,-8.891753852E-2,1.157428980E0,2.607539296E-2
2.741994610E-1,-8.891753852E-2,1.163537621E0,3.035145067E-2
2.762009610E-1,-8.708494902E-2,1.175754905E0,2.851885371E-2
2.782023270E-1,-8.952841163E-2,1.181863666E0,2.912972122E-2
2.802068600E-1,-8.708494902E-2,1.191026568E0,3.707096726E-2
2.822081930E-1,-9.013927728E-2,1.207519889E0,4.073616117E-2
2.862075260E-1,-8.708494902E-2,1.229511142E0,4.562308267E-2
2.882090920E-1,-8.647408336E-2,1.232565403E0,4.928827286E-2
2.902104580E-1,-8.525235206E-2,1.245393515E0,4.928827286E-2
2.922117910E-1,-8.403062075E-2,1.256389141E0,5.356433243E-2
2.942131240E-1,-8.647408336E-2,1.264330387E0,5.539692566E-2
2.962144570E-1,-8.097629249E-2,1.266773820E0,5.967298150E-2
2.982157900E-1,-7.608937472E-2,1.279602051E0,6.822510064E-2
3.002173560E-1,-7.547850907E-2,1.279602051E0,7.189028710E-2
3.022186890E-1,-7.181331515E-2,1.283267260E0,7.799893618E-2
3.042200220E-1,-6.448293477E-2,1.280212879E0,7.860980183E-2
3.062213880E-1,-6.570466608E-2,1.275936842E0,7.738807797E-2
3.082227210E-1,-6.936985999E-2,1.275325894E0,8.166413009E-2
3.102264210E-1,-7.670024037E-2,1.274715066E0,7.983153313E-2
3.122277870E-1,-7.608937472E-2,1.275936842E0,7.738807797E-2
3.142288870E-1,-8.097629249E-2,1.277769446E0,8.471845835E-2
3.162302200E-1,-8.219803125E-2,1.272271633E0,8.288586140E-2
3.182315860E-1,-8.403062075E-2,1.269217253E0,7.860980183E-2
3.202329190E-1,-8.952841163E-2,1.261276126E0,7.983153313E-2
3.222342520E-1,-9.136100858E-2,1.262497783E0,7.677720487E-2
3.242356180E-1,-9.197186679E-2,1.255778313E0,7.677720487E-2
3.262367180E-1,-9.441532940E-2,1.248447895E0,7.677720487E-2
3.282380510E-1,-9.075013548E-2,1.243561029E0,7.738807797E-2
3.302394170E-1,-9.075013548E-2,1.234398007E0,7.860980183E-2
3.322407500E-1,-8.280888945E-2,1.225845933E0,8.105327189E-2
3.342420830E-1,-8.647408336E-2,1.224013329E0,8.044239879E-2
3.362434490E-1,-8.403062075E-2,1.217293859E0,8.044239879E-2
3.382455150E-1,-8.097629249E-2,1.216071963E0,8.288586140E-2
3.422457480E-1,-7.731110603E-2,1.202022076E0,9.082710743E-2
3.442470810E-1,-8.280888945E-2,1.200800419E0,9.632489830E-2
3.462484140E-1,-8.464148641E-2,1.198356986E0,1.006009504E-1
3.482498470E-1,-7.975456864E-2,1.188583136E0,1.030444205E-1
3.502511800E-1,-8.403062075E-2,1.186139703E0,1.054878756E-1
3.522525130E-1,-9.075013548E-2,1.179420114E0,1.152617186E-1
3.542538790E-1,-9.502620250E-2,1.177587509E0,1.164834499E-1
3.562552120E-1,-9.319360554E-2,1.172700524E0,1.219812408E-1
3.582565450E-1,-1.011348516E-1,1.172089696E0,1.293116212E-1
3.602579110E-1,-1.060217768E-1,1.164148569E0,1.305333525E-1
3.622592440E-1,-1.072435006E-1,1.165370226E0,1.372528672E-1
3.642603440E-1,-1.096869633E-1,1.161705136E0,1.421397924E-1
3.662616770E-1,-1.121304259E-1,1.165370226E0,1.439723819E-1
3.682630100E-1,-1.127412841E-1,1.164148569E0,1.531353593E-1
3.722633090E-1,-1.194608063E-1,1.164759398E0,1.604657471E-1
3.742648750E-1,-1.194608063E-1,1.173311472E0,1.665744036E-1
3.762662410E-1,-1.151847541E-1,1.168424606E0,1.720721871E-1
3.782675740E-1,-1.133521572E-1,1.167202830E0,1.763482541E-1
3.802689070E-1,-1.121304259E-1,1.163537621E0,1.867329627E-1
3.822702730E-1,-1.127412841E-1,1.162926793E0,1.855112165E-1
3.842713730E-1,-1.072435006E-1,1.158039808E0,1.903981417E-1
