"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.027257950E-1,4.407026470E-1,-2.206830084E-1,-2.017773390E-1
4.047271610E-1,4.480330348E-1,-2.225156128E-1,-2.054425329E-1
4.067284940E-1,4.596394300E-1,-2.261808068E-1,-2.164381146E-1
4.087305270E-1,4.639154971E-1,-2.304568440E-1,-2.170489877E-1
4.107318930E-1,4.828523397E-1,-2.371763736E-1,-2.194924355E-1
4.127332260E-1,4.901826978E-1,-2.530588806E-1,-2.243793607E-1
4.147345590E-1,4.944587648E-1,-2.573349178E-1,-2.256010920E-1
4.167359250E-1,4.956804812E-1,-2.622218728E-1,-2.268228084E-1
4.187372580E-1,5.011782646E-1,-2.671087682E-1,-2.353749275E-1
4.227391910E-1,4.932370186E-1,-2.793260813E-1,-2.445379049E-1
4.247405240E-1,4.926261604E-1,-2.823804021E-1,-2.457596362E-1
4.267418570E-1,4.926261604E-1,-2.750500143E-1,-2.500357032E-1
4.287431230E-1,4.816305935E-1,-2.774934769E-1,-2.549226284E-1
4.307444560E-1,4.736893177E-1,-2.738282681E-1,-2.616421580E-1
4.327458220E-1,4.602503181E-1,-2.713848352E-1,-2.683616579E-1
4.347471550E-1,4.492547214E-1,-2.658870220E-1,-2.830224335E-1
4.367484880E-1,4.413134754E-1,-2.616109848E-1,-2.830224335E-1
4.387498540E-1,4.266526997E-1,-2.457284778E-1,-2.921853960E-1
4.407515200E-1,4.174897373E-1,-2.420632988E-1,-2.940180004E-1
4.427528530E-1,4.126028121E-1,-2.371763736E-1,-2.964614630E-1
4.447542190E-1,4.046615660E-1,-2.322894484E-1,-3.031809628E-1
4.467555520E-1,3.985529244E-1,-2.249590605E-1,-3.086787760E-1
4.487568850E-1,3.936659992E-1,-2.231264710E-1,-3.117330968E-1
4.507582510E-1,3.954986036E-1,-2.329003215E-1,-3.208960593E-1
4.527595840E-1,3.900007904E-1,-2.390089780E-1,-3.208960593E-1
4.547609170E-1,3.942768574E-1,-2.487828135E-1,-3.276155591E-1
4.567622830E-1,4.009963572E-1,-2.579458058E-1,-3.312807679E-1
4.587625830E-1,4.040507078E-1,-2.579458058E-1,-3.337242305E-1
4.607639160E-1,4.144354165E-1,-2.610001266E-1,-3.386111557E-1
4.627652820E-1,4.223766923E-1,-2.701630890E-1,-3.331133723E-1
4.647666150E-1,4.284853339E-1,-2.829912603E-1,-3.318916261E-1
