"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.120170320E-1,9.828497887E0,-9.768640995E-1,2.004008055E0
2.140183650E-1,9.804554939E0,-1.005595446E0,2.023162127E0
2.160197310E-1,9.747093201E0,-1.027143836E0,2.023162127E0
2.180207970E-1,9.682447433E0,-1.072635174E0,2.006402254E0
2.200224630E-1,9.660899162E0,-1.089395046E0,1.999219418E0
2.220238290E-1,9.656110764E0,-1.130097747E0,1.960911036E0
2.240251620E-1,9.636956215E0,-1.168406129E0,1.908236980E0
2.260264950E-1,9.627379417E0,-1.185166001E0,1.877111435E0
2.280281950E-1,9.605830193E0,-1.211503029E0,1.771763325E0
2.300295280E-1,9.644139290E0,-1.249811411E0,1.683175206E0
2.320308610E-1,9.672870636E0,-1.240234375E0,1.647261024E0
2.340322270E-1,9.639349937E0,-1.230657220E0,1.611346960E0
2.360335930E-1,9.639349937E0,-1.223474383E0,1.582615614E0
2.380349260E-1,9.641744614E0,-1.218685865E0,1.589798450E0
2.400362920E-1,9.644139290E0,-1.216291547E0,1.596981287E0
2.420402920E-1,9.620196342E0,-1.225868702E0,1.616135478E0
2.440416250E-1,9.610619545E0,-1.240234375E0,1.644866824E0
2.460429910E-1,9.572310448E0,-1.237840056E0,1.685569525E0
2.480442570E-1,9.560338974E0,-1.233051538E0,1.707117915E0
2.500455900E-1,9.555550575E0,-1.218685865E0,1.750214934E0
2.520469560E-1,9.493299484E0,-1.235445857E0,1.762186289E0
2.540482890E-1,9.493299484E0,-1.223474383E0,1.762186289E0
2.560496220E-1,9.474145889E0,-1.206714511E0,1.750214934E0
2.580505880E-1,9.457385063E0,-1.194743156E0,1.733454943E0
2.600519210E-1,9.440625191E0,-1.149251938E0,1.695146561E0
2.620532540E-1,9.466962814E0,-1.108549237E0,1.644866824E0
2.640546200E-1,9.486116409E0,-1.096577883E0,1.613741279E0
2.660561860E-1,9.500482559E0,-1.070240855E0,1.594586968E0
2.680575190E-1,9.538790703E0,-1.029538155E0,1.537124395E0
2.700588850E-1,9.541185379E0,-9.984126091E-1,1.508393168E0
2.720602180E-1,9.569916725E0,-9.936240315E-1,1.458113313E0
2.740617840E-1,9.610619545E0,-9.529213905E-1,1.417410731E0
2.760631170E-1,9.610619545E0,-9.385557175E-1,1.324033976E0
2.780647170E-1,9.622590065E0,-9.361614585E-1,1.307274103E0
2.800660500E-1,9.663292885E0,-9.122186899E-1,1.271359921E0
2.820673830E-1,9.684841156E0,-8.906702399E-1,1.223474383E0
2.840687160E-1,9.727938652E0,-8.954587579E-1,1.192348838E0
2.860697490E-1,9.725543976E0,-8.858816624E-1,1.187560320E0
2.880710820E-1,9.725543976E0,-8.786988258E-1,1.199531674E0
2.900724150E-1,9.689630508E0,-8.954587579E-1,1.247417212E0
2.920737810E-1,9.672870636E0,-8.906702399E-1,1.280937076E0
2.940751140E-1,9.613013268E0,-9.122186899E-1,1.398256540E0
2.960764140E-1,9.536396980E0,-9.074301720E-1,1.515576005E0
2.980777800E-1,9.514847755E0,-9.385557175E-1,1.534730196E0
3.000791130E-1,9.498087883E0,-9.577099085E-1,1.544307232E0
3.040791120E-1,9.471751213E0,-9.505270720E-1,1.503604531E0
3.060804450E-1,9.414288521E0,-9.122186899E-1,1.450930476E0
3.080818450E-1,9.378374100E0,-8.930644989E-1,1.448536277E0
3.100832110E-1,9.287391663E0,-8.547561169E-1,1.443747759E0
3.120845440E-1,9.217958450E0,-8.188419938E-1,1.474873304E0
3.140858770E-1,9.184437752E0,-7.972934842E-1,1.486844659E0
3.160872430E-1,9.177255630E0,-7.398309112E-1,1.537124395E0
3.180885760E-1,9.220352173E0,-6.775797606E-1,1.532335877E0
3.200899090E-1,9.265843391E0,-6.536370516E-1,1.549095750E0
3.220912750E-1,9.368797302E0,-5.937801600E-1,1.606558442E0
3.240926080E-1,9.409500122E0,-5.482889414E-1,1.738243461E0
3.260939410E-1,9.395133972E0,-5.339232683E-1,1.819648862E0
3.280953070E-1,9.359220505E0,-5.123748183E-1,1.927391171E0
3.300963070E-1,9.325700760E0,-4.956148863E-1,1.992036581E0
3.320976400E-1,9.313729286E0,-4.932205975E-1,2.104567528E0
3.340987730E-1,9.332882881E0,-5.435003638E-1,2.262589693E0
3.361001060E-1,9.273026466E0,-6.153286099E-1,2.355966330E0
3.381014390E-1,9.239506721E0,-6.296942830E-1,2.334417820E0
3.401028050E-1,9.198803902E0,-7.063110471E-1,2.286532402E0
3.421041380E-1,9.215563774E0,-7.518022656E-1,2.229069948E0
3.441054710E-1,9.162889481E0,-8.379961848E-1,2.090201855E0
3.461071370E-1,9.122186661E0,-9.194015265E-1,1.927391171E0
3.481084700E-1,9.098244667E0,-9.433442950E-1,1.862745762E0
3.501098030E-1,9.079090118E0,-1.046298146E0,1.680780888E0
3.521111360E-1,9.098244667E0,-1.149251938E0,1.496421814E0
3.541124690E-1,9.126976013E0,-1.192348838E0,1.415016413E0
3.561138020E-1,9.186832428E0,-1.268965602E0,1.259388566E0
3.581151350E-1,9.217958450E0,-1.309668303E0,1.199531674E0
3.601179010E-1,9.280209541E0,-1.388679385E0,1.091789365E0
3.621192670E-1,9.344854355E0,-1.422199249E0,1.012778282E0
3.641206330E-1,9.380768776E0,-1.438959122E0,9.792584181E-1
3.661219660E-1,9.466962814E0,-1.446141958E0,9.553156495E-1
3.681233990E-1,9.553156853E0,-1.429382086E0,9.720755816E-1
3.701247320E-1,9.598648071E0,-1.426987767E0,9.984126091E-1
3.721260650E-1,9.632167816E0,-1.422199249E0,1.041509509E0
3.741274310E-1,9.660899162E0,-1.438959122E0,1.079817891E0
3.761287640E-1,9.656110764E0,-1.458113313E0,1.103760719E0
3.781300970E-1,9.648927689E0,-1.470084786E0,1.142069101E0
