-13190,-856,7836,11,-212,-373
-13356,-702,7882,-256,-56,-295
-13348,-688,7906,-277,-164,-253
-13282,-756,8006,-190,-277,-240
-13242,-678,8022,-36,-401,-254
-13218,-694,7752,91,-477,-288
-13220,-630,7908,124,-492,-290
-13220,-666,7886,88,-431,-300
-13184,-754,7850,50,-254,-310
-13214,-656,7844,25,-3,-328
-13190,-658,7806,36,244,-358
-13234,-802,7868,44,407,-357
-13308,-788,7894,21,461,-339
-13160,-750,7936,-3,386,-327
-13234,-844,7908,21,233,-316
-13138,-812,7988,96,41,-296
-13224,-858,7940,184,-141,-305
-13068,-754,7884,289,-185,-354
-13062,-876,7860,255,4,-372
-13112,-776,7652,201,350,-384
-13164,-846,7576,115,800,-405
-13206,-816,7770,33,1137,-389
-13334,-724,7648,26,1288,-395
-13306,-784,7780,59,1206,-378
-13336,-680,7926,106,910,-353
-13242,-742,8032,125,542,-330
-13252,-684,7986,173,110,-309
-13208,-722,7880,174,-72,-293
-13360,-656,7712,205,48,-316
-13254,-684,7572,189,261,-325
-13392,-752,7626,114,560,-318
-13368,-794,7660,-17,816,-294
-13418,-738,7614,255,-28925,-15106
-13472,-670,7764,-123,676,-239
-13388,-686,7838,10,315,-250
-13318,-754,7910,165,-108,-272
-13384,-688,7938,295,-494,-283
-13366,-798,7904,312,-605,-295
-13212,-764,7602,250,-319,-307
-13288,-734,7534,135,176,-310
-13424,-828,7662,-15,669,-307
-13412,-824,7802,-146,969,-279
-13376,-834,7798,-222,981,-259
-13374,-704,7870,-238,661,-248
-13374,-694,7926,-192,146,-249
-13368,-662,7950,-89,-415,-265
-13278,-632,7726,15,-808,-273
-13316,-528,7720,92,-938,-290
-13354,-636,7706,118,-871,-313
-13360,-720,7552,100,-634,-330
-13404,-768,7740,-83,-7,-294
-13298,-816,7706,-230,115,-266
-13346,-762,7918,-305,159,-230
-13210,-710,7794,-287,46,-227
-13300,-710,7866,-241,-219,-229
-13290,-688,7964,-182,-506,-241
-13254,-732,7802,-139,-692,-235
-13176,-642,7818,-136,-730,-225
-13316,-698,7810,-151,-676,-208
-13188,-740,7700,-193,-503,-182
-13268,-762,7832,-181,-292,-174
-13180,-774,7774,-163,-116,-195
-13102,-680,7902,-158,0,-217
-13176,-740,7818,-178,108,-252
-13224,-688,7880,-200,298,-285
-13208,-758,7772,-181,493,-291
-13344,-714,7918,-196,596,-264
-13308,-754,7976,-127,448,-248
-13218,-738,7830,-68,261,-245
-13278,-756,7794,-41,115,-248
-13222,-758,7792,-39,20,-256
-13154,-832,7858,-77,-6,-245
-13374,-854,7966,-137,29,-222
-13328,-696,7920,-177,95,-211
-13312,-674,7890,-175,154,-195
-13388,-748,7910,-124,205,-200
-13376,-642,7752,-85,207,-197
-13334,-772,7792,-70,162,-178
-13384,-742,7804,-119,129,-169
-13416,-738,7764,-181,317,-145
-13382,-706,7824,-233,364,-129
-13354,-854,7620,-338,56,-83
-13308,-712,7778,-71,154,-136
-13466,-684,7782,69,262,-204
-13330,-706,7882,1,94,-206
-13242,-686,7862,-96,-186,-172
-13360,-766,7960,-199,-333,-162
