-10914,-320,10312,-10,362,-261
-11532,-384,10264,-23,41,-220
-11346,-366,10360,-121,47,-189
-11118,-334,10396,-224,53,-168
-11546,-310,10458,-281,-1,-162
-11372,-426,10570,-295,-49,-167
-11142,-352,10408,-225,-82,-203
-11560,-454,10496,-136,-106,-222
-11312,-200,10384,-31,-95,-276
-11600,-380,10444,42,-67,-298
-11542,-432,10370,54,76,-297
-11292,-322,10258,28,231,-287
-11190,-320,10350,-39,413,-282
-11290,-240,10486,-87,479,-270
-10964,-296,10248,-121,479,-275
-11338,-294,10392,-115,397,-280
-11478,-220,10286,-140,259,-307
-11154,-276,10404,-135,278,-319
-11126,-248,10394,-64,221,-328
-11314,-294,10476,38,168,-340
-11272,-366,10338,132,102,-341
-11420,-518,10368,173,110,-341
-11384,-448,10292,134,203,-321
-11474,-490,10328,34,326,-289
-11202,-432,10404,-55,449,-254
-11088,-214,10266,-106,534,-254
-11324,-302,10312,-170,567,-254
-11466,-444,10416,-191,498,-246
-11474,-440,10346,-147,360,-251
-11730,-452,10308,-73,219,-270
-11626,-560,10236,-10,134,-285
-11076,-326,10222,5,140,-295
-11354,-324,10192,-18,197,-293
-11364,-286,10376,-81,295,-308
-11302,-308,10404,-170,363,-324
-11504,-202,10352,-268,456,-362
-11556,-342,10396,-325,620,-393
-11590,-402,10354,-336,763,-436
-11660,-530,10366,-289,829,-506
-11498,-644,10420,-133,775,-562
-11492,-536,10426,30,665,-651
-11708,-584,10278,138,580,-734
-11444,-480,10152,199,597,-834
-11566,-476,10278,196,670,-889
-11660,-350,10168,147,786,-958
-11584,-458,10188,61,906,-1031
-11722,-490,10316,124,1012,-1111
-11684,-458,10276,247,997,-1156
-11768,-390,10398,381,473,-1191
-11652,-288,10392,449,378,-1308
-11470,-212,10368,515,425,-1417
-11574,-394,10402,573,575,-1556
-11318,-458,10328,600,856,-1692
-11338,-466,10566,602,1192,-1835
-11220,-484,10546,526,1466,-1935
-11284,-436,10418,496,1813,-2014
-10822,-256,10548,537,2168,-2095
-10842,-430,10630,657,2531,-2230
-10798,-296,10510,789,2818,-2392
-11638,-340,10570,942,2910,-2538
-11358,-420,10512,1186,2794,-2642
-11804,-276,10326,1579,2546,-2741
-11410,176,10226,1830,2296,-2921
-11810,136,10056,2354,2385,-3156
-11438,16,10110,2854,2558,-3493
-11472,-124,10018,3301,2813,-3829
-11738,-684,9998,3566,2946,-4088
-11916,-812,9674,3959,2839,-4090
-11976,-706,9224,4077,2443,-4065
-12410,-850,8902,3759,2137,-4108
-12076,-684,8708,3320,2200,-4101
-11974,-630,8726,2763,2487,-3998
-12140,-602,8544,2168,2660,-3697
-12726,-1112,8532,1734,2668,-3283
-13284,-1048,8262,1586,2071,-2688
-12814,-1214,8026,1342,859,-2088
-13538,-986,8186,1131,161,-1645
-12376,1742,7560,800,-407,-939
-11106,-164,10236,-331,1721,-1865
-10106,286,11330,600,3592,-2509
-11112,1704,11954,1876,3720,-3042
-12150,1434,12270,2979,2248,-3214
-12726,704,12798,5376,-296,-3252
-12062,234,12412,8593,-3759,-3450
-11496,536,11566,10333,-6195,-3825
-12504,574,10860,10329,-6881,-3258
-12370,904,9510,9336,-8347,-2095
-10278,2038,10062,7504,-9291,-2158
-10184,2314,10440,6025,-6910,-2715
-11414,2524,12242,6099,-3531,-4182
-11202,1708,12440,5825,-2618,-5182
-9740,922,11722,4847,-2085,-4183
-10162,-150,11024,3387,-776,-3339
-10922,640,10800,592,-2979,-2498
-11464,60,10766,-807,-5695,-2506
-10914,42,12232,-1010,-7736,-3327
-10466,-558,12888,-91,-9164,-3799
-9966,-1350,12452,1410,-9486,-3901
-10274,-1816,12600,2728,-8130,-3840
-10654,-2560,11698,3610,-6674,-4242
-10944,-1962,11178,5429,-5505,-5478
-11104,-690,11022,6952,-4990,-6525
-11170,-1078,10154,6833,-4802,-6577
