-11300,-5056,9440,59,500,-338
-11150,-5052,9174,24,157,-358
-11156,-5008,9276,25,152,-370
-11246,-4994,9262,29,198,-371
-11310,-5130,9316,7,210,-373
-11310,-5150,9248,-41,187,-372
-11408,-5122,9354,-89,165,-357
-11378,-5096,9246,-108,174,-332
-11438,-5026,9304,-116,224,-315
-11396,-5080,9274,-155,213,-293
-11204,-5116,9228,-165,200,-276
-11372,-5104,9278,-141,160,-286
-11310,-5120,9080,-103,81,-293
-11326,-5186,9178,-63,22,-297
-11244,-5194,9286,-49,8,-308
-11268,-5182,9218,-48,9,-313
-11316,-5190,9336,-75,19,-311
-11306,-5090,9196,-132,217,-309
-11454,-5148,9298,-178,240,-309
-11332,-5072,9230,-261,148,-303
-11338,-5118,9078,-318,81,-289
-11278,-5156,9250,-318,126,-279
-11298,-5100,9316,-303,184,-283
-11232,-5212,9282,-310,179,-282
-11308,-5176,9358,-304,187,-292
-11354,-5230,9336,-287,244,-290
-11394,-5126,9266,-266,373,-310
-11490,-5016,9410,-263,458,-334
-11404,-5106,9356,-212,488,-346
-11568,-5110,9066,-160,471,-373
-11422,-5078,9000,-143,452,-388
-11358,-5182,9176,-142,418,-399
-11356,-5288,9060,-41,389,-423
-11288,-5366,8922,71,391,-457
-11454,-5466,8868,79,452,-473
-11320,-5512,8824,62,547,-481
-11264,-5662,8732,43,642,-468
-11350,-5768,8758,54,782,-472
-11270,-5962,8634,112,864,-531
-11164,-6054,8764,222,1003,-611
-11080,-6002,8920,398,1171,-726
-11068,-6044,9134,657,1451,-878
-11086,-5938,9292,1018,1718,-1000
-11208,-5752,9464,1351,2081,-1066
-11228,-5538,9412,1524,2102,-1068
-11438,-5468,9478,1439,2024,-1020
-11662,-5568,9260,1272,2254,-952
-11820,-5518,9058,1255,2815,-885
-12180,-5572,9026,1308,3987,-758
-12428,-5654,9060,1432,4233,-744
-12688,-5702,9024,1654,4260,-805
-12752,-5740,9120,1905,4032,-905
-12800,-5772,9390,2069,3471,-1054
-13000,-5966,9394,2280,2673,-1217
-13246,-6020,9322,2533,2103,-1378
-13440,-6122,9172,2869,1847,-1448
-13432,-6038,8948,3223,1679,-1387
-13484,-6002,8848,3386,1365,-1182
-13444,-5812,8480,3436,912,-851
-13074,-5734,8742,3445,447,-475
-12672,-5464,8896,3571,20,-92
-12486,-5516,8860,3600,-185,278
-12210,-5166,8920,3682,-191,616
-11738,-4984,8918,3930,199,1090
-11912,-5244,8822,3826,478,1349
-11884,-4848,8586,3607,932,1579
-11914,-5124,8432,3050,1447,1867
-11546,-4882,8162,2668,1953,2028
-11638,-4782,7648,2658,2107,2042
-11486,-4726,7730,2983,1532,1899
-11340,-4728,7532,3332,841,1807
-11390,-4286,7636,3649,441,1662
-11034,-4294,7718,3846,453,1606
-10720,-3854,7694,4053,666,1501
-10750,-3560,7916,4043,883,1518
-10576,-3026,8000,3910,1058,1694
-10406,-2914,7998,3588,1505,1959
-10520,-2590,8146,3422,2028,2183
-9688,-2674,9352,3945,2172,2472
-9942,-2306,9298,4259,2724,2441
-10480,-2452,9204,3889,3714,2450
-11008,-2474,9300,3878,4372,2409
-11712,-2434,9316,3820,4932,2459
-12308,-2386,8942,3639,5389,2609
-12926,-2650,8864,3144,6017,2650
-13672,-2258,8520,2738,6647,2630
-14358,-2742,8502,2167,7341,2699
-14664,-2824,8052,2169,7760,2714
-14844,-2620,7100,3085,7491,2652
-14662,-1390,6152,4228,6517,2277
-15054,-1826,6344,4586,4715,1786
-14380,-1758,7278,4941,2580,1341
-13710,-1352,7932,5610,619,987
-13602,-1376,8928,6840,-1333,584
-12344,62,8606,7280,-2476,504
-13264,-698,8504,7012,-3506,382
-13368,-2286,7932,7084,-5392,421
-11972,-610,7806,8176,-7291,-177
-11142,-344,8590,7718,-8201,-1116
-11438,-716,9950,6246,-8559,-1939
-11828,-1422,12004,5036,-9637,-2556
-10272,-1896,12444,3917,-8619,-2432
-9334,-1396,12106,3565,-3917,-1723
-10088,-2114,10582,3706,1210,-1842
-9738,-2668,12754,4712,4880,-2237
-11238,-2658,10456,6633,6493,-2847
-12162,2024,9314,7724,6792,-3098
-13082,-3242,8044,6748,5830,-2385
-12936,-2826,9004,7125,3487,-2250
-12402,-2986,9516,6826,1750,-2126
-12424,-2834,9752,6679,504,-2098
-12088,-2460,9476,6887,-237,-2207
-12114,-2194,8486,6760,-255,-2189
-12218,-2136,8212,6054,889,-2042
-12474,-1944,8084,5056,1846,-1900
-12584,-2054,7914,4248,2215,-1755
-12600,-2036,7646,3678,2260,-1693
-12460,-1932,7620,3167,2176,-1653
-12762,-1844,7986,2843,2075,-1671
-12434,-1608,7986,2688,1696,-1836
-12310,-1526,8354,2466,1496,-1964
-12578,-1418,8334,2352,1397,-2071
-12590,-1356,8084,2168,1268,-2088
-12544,-1370,7710,1067,918,-1781
-12430,-1552,8260,1115,554,-1756
-12482,-1564,8556,1241,199,-1727
-12418,-1648,8546,1183,69,-1624
-12690,-1720,8514,990,262,-1572
-13032,-1798,8422,892,537,-1562
-13402,-2056,8336,734,716,-1513
-13700,-2094,8358,552,749,-1460
-13772,-2100,8606,472,694,-1400
-13782,-2058,8712,487,650,-1315
-13620,-2010,8954,620,621,-1201
-13474,-1906,9110,841,567,-1087
-13352,-1790,8796,986,572,-945
-13220,-1850,8492,985,697,-780
-13304,-1830,8034,825,895,-577
-13074,-1468,7666,-46,1405,-123
-13078,-1194,7844,-768,1901,152
-13132,-1074,8124,-1710,2932,494
-13176,-978,8170,-2575,4583,778
-13480,-936,7908,-3017,6072,976
-13868,-958,7638,-3272,6721,1099
-14218,-976,7394,-3604,6431,1229
-14266,-910,7298,-3924,5309,1316
-14308,-732,7334,-4171,3798,1403
-14232,-558,7284,-4303,2255,1517
-14056,-448,7286,-4211,776,1610
-13806,-288,7490,-3812,-355,1596
-13320,-158,7624,-3232,-787,1536
-13318,-250,7512,-2648,-632,1454
-13058,-238,7206,-2150,-450,1327
-12928,-444,6814,-1891,-168,1151
-12710,-726,6648,-1904,657,642
-12590,-844,6916,-1810,748,292
-12790,-1002,7114,-1602,372,-55
-12794,-1132,7352,-1452,-160,-327
-12812,-1332,7542,-1297,-604,-503
-12736,-1380,7974,-991,-875,-614
-12908,-1426,8150,-535,-1042,-644
-13048,-1428,8132,-91,-1207,-595
-13258,-1480,7946,187,-1106,-506
-13290,-1610,7648,116,-262,-384
-13384,-1664,7824,-113,-83,-357
-13554,-1670,7744,-381,-160,-299
-13488,-1506,7398,-176,552,-342
-13632,-1594,7342,409,1393,-487
-13830,-1562,7372,750,1768,-621
-13796,-1600,7280,481,1948,-712
-13580,-1564,7224,445,1792,-840
-13608,-1540,7148,363,1676,-959
-13608,-1502,7190,294,1469,-1129
-13574,-1570,7338,296,1575,-1251
-13474,-1580,7256,336,1785,-1334
-13462,-1648,6978,323,1737,-1396
-13484,-1654,7246,217,1400,-1414
-13608,-1676,7178,73,1194,-1397
-13606,-1626,7088,-99,1403,-1323
-13934,-1696,6996,-356,1756,-1253
-14094,-1716,6916,-747,2113,-1184
-14124,-1828,6948,-1171,2393,-1123
-14260,-1914,7172,-1520,2547,-1100
-14282,-1940,7470,-1684,2550,-1110
-14224,-2094,7782,-1342,2557,-1174
-14032,-2126,7692,-995,2623,-1166
-14096,-2078,7382,-736,2531,-1113
-14146,-2134,7186,-725,2253,-987
-14072,-2182,6532,-967,1934,-856
-14036,-2096,6384,-1373,1684,-758
-14058,-2102,6212,-1819,1574,-698
-14002,-2088,6134,-2212,1484,-731
-14224,-1932,6236,-2497,1309,-807
-14114,-1884,6340,-2680,973,-907
-13978,-1798,6590,-2698,664,-979
-13836,-1678,6904,-2612,547,-1035
-13698,-1678,6996,-2468,617,-1082
-13602,-1728,7054,-2236,749,-1151
-13552,-1780,6834,-2044,833,-1212
-13432,-1924,6738,-1880,831,-1234
-13740,-1846,6620,-1671,589,-1269
-13692,-1820,6362,-1583,280,-1290
-13814,-1980,6390,-1600,289,-1215
-13816,-2022,6372,-1603,424,-1133
-13774,-2130,6392,-1617,546,-1068
-13740,-2098,6376,-1638,540,-997
-13682,-2202,6410,-1638,346,-963
-13724,-2384,6536,-1588,135,-967
-13584,-2482,6720,-1425,116,-1003
-13414,-2528,6984,-1153,253,-1064
-13468,-2462,7032,-826,436,-1127
-13596,-2418,6804,-585,566,-1142
-13706,-2514,6732,-559,775,-1087
-13974,-2940,6226,-1181,2110,-887
-14038,-2920,6442,-1132,1691,-908
-13958,-2948,6308,-1084,1419,-896
-14066,-2902,6158,-1059,1350,-861
-13982,-2912,6188,-1101,1316,-817
-14056,-2874,6200,-1244,1253,-730
-14062,-2932,6248,-1253,1018,-694
-14076,-2838,6084,-1127,536,-710
-14032,-2838,6138,-1052,87,-680
-13996,-2710,6266,-1012,-68,-681
-13928,-2842,6206,-954,-26,-724
-13884,-2788,6306,-896,65,-814
-13962,-2824,6230,-822,59,-928
-13818,-2940,6214,-856,37,-1022
-13984,-2958,6282,-941,208,-1100
-13908,-2952,6250,-979,379,-1158
-13934,-2934,6358,-899,449,-1235
-13842,-2814,6518,-706,194,-1295
-13806,-2738,6402,-495,-157,-1316
-13890,-2734,6162,-350,-449,-1270
-13806,-2762,6058,-297,-754,-1176
-13826,-2884,5774,-340,-925,-1057
-13834,-3068,5790,-588,-955,-973
