-14222,-448,6206,-1,162,-331
-14306,-446,6240,24,421,-339
-14248,-454,6140,42,555,-330
-14380,-510,6120,23,624,-312
-14354,-468,6304,-87,568,-262
-14290,-448,6294,-179,466,-216
-14108,-442,6332,-205,428,-193
-14200,-450,6200,-122,494,-194
-14208,-482,6204,-55,598,-210
-14138,-440,6310,-41,551,-219
-14136,-366,6166,-131,425,-223
-14228,-398,6236,-162,418,-201
-14142,-372,6234,-144,431,-217
-14184,-478,6208,-158,469,-227
-14156,-350,6266,-158,495,-215
-14206,-396,6114,-169,451,-220
-14184,-536,6182,-164,397,-244
-14224,-450,6220,-48,284,-310
-14078,-386,6162,-14,288,-343
-14180,-424,6210,22,330,-356
-14310,-378,6136,43,310,-368
-14280,-356,6066,30,291,-363
-14298,-408,6150,-27,296,-332
-14284,-490,6094,-128,274,-290
-14148,-512,6448,-205,213,-268
-14088,-460,6226,-209,117,-269
-14206,-592,6438,-173,-2,-297
-14228,-484,6230,-133,-61,-317
-14222,-484,6096,-125,-67,-331
-14228,-482,6112,-138,-22,-316
-14354,-428,6052,-154,78,-309
-14440,-432,6020,-171,151,-293
-14280,-490,6174,-171,249,-291
-14368,-460,6112,-136,427,-271
-14336,-466,6090,-106,442,-267
-14246,-470,6102,-70,437,-285
-14272,-502,6074,-44,387,-298
-14210,-448,6116,3,328,-314
-14226,-452,6122,46,296,-327
-14308,-432,6160,73,291,-348
-14304,-526,6096,89,325,-367
-14290,-464,6178,90,391,-380
-14412,-468,5970,82,490,-374
-14398,-334,6022,66,610,-371
-14344,-474,6062,57,723,-362
-14424,-410,6064,80,817,-373
-14334,-486,6056,106,834,-375
-14404,-466,6066,111,802,-370
-14318,-520,5952,67,748,-351
-14202,-570,6100,1,689,-327
-14416,-488,6048,21,590,-354
-14464,-412,5830,39,542,-362
-14320,-458,5918,0,613,-342
-14296,-424,6096,-29,726,-345
-14288,-462,6062,-6,792,-351
-14264,-478,6130,82,762,-395
-14230,-518,5952,0,30210,-28162
-14280,-488,5832,76,518,-424
-14264,-616,5930,31,440,-395
-14320,-606,5866,-10,420,-387
-14264,-454,5864,-57,464,-354
-14202,-440,5832,-51,476,-358
-14210,-486,5882,-33,491,-354
-14312,-448,5854,7,514,-362
-14386,-460,5798,27,513,-359
-14354,-438,5716,-34,464,-337
-14302,-426,5768,-96,411,-298
-14438,-514,5800,-144,377,-278
-14434,-460,5806,-163,372,-263
-14488,-472,5816,-169,378,-251
-14374,-514,5836,-158,353,-245
-14414,-542,5998,-116,327,-255
-14416,-488,5782,-90,290,-279
-14302,-446,5750,-71,256,-294
-14314,-512,5770,-73,240,-301
-14402,-416,5678,-74,261,-295
-14356,-452,5674,-59,320,-314
-14548,-416,5658,-30,410,-316
-14444,-444,5806,-24,514,-319
-14530,-482,5748,-3,596,-335
-14634,-458,5776,27,722,-341
-14616,-444,5808,66,782,-346
-14616,-442,5776,120,760,-369
-14800,-488,5556,197,714,-440
-14734,-510,5556,169,649,-454
-14708,-528,5528,119,623,-446
-14636,-520,5628,77,614,-433
-14682,-434,5514,21,627,-429
-14662,-428,5646,22,619,-450
-14736,-414,5704,62,593,-491
-14938,-520,5736,65,614,-543
-14974,-494,5574,56,684,-559
-15176,-526,5552,26,762,-558
-14982,-592,5162,-27,903,-568
-14804,-622,5134,-39,1062,-588
-14650,-522,5218,-64,1202,-614
-14736,-664,5478,-83,1228,-633
-14892,-766,5608,-147,1166,-653
-15002,-614,5614,-268,1154,-647
-14924,-620,5396,-316,1168,-663
-15074,-602,5158,-282,1334,-735
-14914,-644,5082,-217,1422,-730
-14706,-636,5162,-152,1361,-717
-14638,-754,5274,-215,1308,-690
-14482,-768,5158,-321,1405,-658
-14584,-762,5144,-375,1404,-633
-14560,-790,5292,-533,1401,-587
-14594,-782,5260,-634,1375,-562
-14624,-726,5350,-729,1247,-591
-14632,-598,5380,-742,1159,-629
-14582,-724,5474,-669,1120,-723
-14650,-694,5474,-647,1118,-769
-14552,-644,5376,-607,1103,-844
-14612,-656,5432,-437,953,-963
-14870,-700,5276,-324,742,-1080
-14694,-864,4936,-372,277,-1223
-14542,-940,4844,-490,177,-1223
-14446,-808,5172,-568,48,-1179
-14418,-928,5108,-655,-146,-1121
-14524,-878,5010,-875,-345,-1077
-14638,-930,5112,-1174,-431,-941
-14636,-1010,5096,-1415,-371,-846
-14442,-972,5028,-1560,-312,-804
-14650,-1080,5016,-1607,-194,-813
-14706,-948,4650,-1574,-127,-788
-14660,-960,4578,-1636,-133,-779
-14862,-962,4334,-1548,-158,-734
-15086,-1018,3962,-1527,-81,-719
-15316,-1064,3620,-1641,-4,-640
-15314,-1460,3384,-1802,93,-560
-14972,-1404,3080,-1771,209,-462
-14384,-1430,3006,-1731,450,-242
-14270,-1410,3244,-1661,210,-195
-14018,-1296,3348,-1521,-553,4
-13808,-1110,3804,-1330,-1458,32
-13774,-1006,3942,-764,-2400,-160
-13898,-916,3924,-128,-2969,-321
-14318,-776,3518,333,-3141,-449
-14454,-852,2996,621,-3143,-473
-14746,-808,3080,793,-3131,-443
-14586,-826,3038,816,-3195,-359
-14540,-876,3078,626,-3091,-186
-14676,-1044,3204,545,-3091,-78
-14570,-926,3336,671,-3276,27
-14396,-894,3414,763,-3516,140
-14672,-928,3078,794,-3536,193
-14698,-808,3438,1103,-3626,291
-14514,-878,3550,1368,-3880,201
-14140,-1014,3548,1573,-4053,183
-14142,-1070,3590,1639,-4193,183
