"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.801954980E-1,8.870788574E0,-1.661626697E0,1.541913033E0
2.821968310E-1,8.791776657E0,-1.635289669E0,1.532335877E0
2.841982310E-1,8.741497040E0,-1.628106833E0,1.520364523E0
2.861995310E-1,8.667274475E0,-1.589798450E0,1.482056141E0
2.882008310E-1,8.605023384E0,-1.546701550E0,1.472478986E0
2.902021970E-1,8.581081390E0,-1.515576005E0,1.470084786E0
2.922024300E-1,8.545166969E0,-1.438959122E0,1.460507631E0
2.942037300E-1,8.514040947E0,-1.395862222E0,1.470084786E0
2.962050960E-1,8.454184532E0,-1.312062621E0,1.491633177E0
2.982064620E-1,8.403904915E0,-1.225868702E0,1.503604531E0
3.002077950E-1,8.365595818E0,-1.192348838E0,1.532335877E0
3.022132280E-1,8.277008057E0,-1.154040456E0,1.594586968E0
3.042145610E-1,8.214756966E0,-1.134886265E0,1.637683988E0
3.062159270E-1,8.176448822E0,-1.108549237E0,1.649655342E0
3.082172600E-1,8.059128761E0,-1.077423692E0,1.719089270E0
3.102185600E-1,8.020820618E0,-1.051086664E0,1.733454943E0
3.122199260E-1,7.951386452E0,-1.046298146E0,1.778946161E0
3.162185920E-1,7.790970325E0,-1.003201127E0,1.869928598E0
3.182199250E-1,7.702382088E0,-9.888355136E-1,1.920208454E0
3.202212910E-1,7.589851379E0,-1.017566800E0,2.004008055E0
3.222228910E-1,7.551542759E0,-1.027143836E0,2.018373728E0
3.242242570E-1,7.470137596E0,-1.053480864E0,2.071047783E0
3.262255900E-1,7.395915031E0,-1.075029373E0,2.128510237E0
3.282269230E-1,7.345634937E0,-1.070240855E0,2.162030220E0
3.302282560E-1,7.254652500E0,-1.077423692E0,2.231464148E0
3.342266890E-1,7.151699066E0,-1.079817891E0,2.327235222E0
3.362280890E-1,7.094236374E0,-1.058269501E0,2.372726440E0
3.382294890E-1,7.084659100E0,-1.043903828E0,2.379909277E0
3.402308550E-1,7.031985283E0,-1.024749637E0,2.406246185E0
3.422321880E-1,6.967339516E0,-9.577099085E-1,2.427794695E0
3.442335210E-1,6.960156918E0,-9.241901040E-1,2.439765930E0
3.462348870E-1,6.960156918E0,-8.786988258E-1,2.482862949E0
3.482362530E-1,6.931425571E0,-8.260248303E-1,2.470891714E0
3.502375860E-1,6.924242973E0,-7.925049663E-1,2.478074312E0
3.522389190E-1,6.926637173E0,-7.278595567E-1,2.470891714E0
3.542402850E-1,6.895511627E0,-6.823683381E-1,2.480468750E0
3.562415850E-1,6.895511627E0,-6.440598965E-1,2.466103077E0
3.582429180E-1,6.881145954E0,-6.129343510E-1,2.470891714E0
3.602442510E-1,6.885934353E0,-5.770202279E-1,2.456526041E0
3.642427840E-1,6.811711788E0,-4.788549542E-1,2.430188894E0
3.662441170E-1,6.804529190E0,-4.549122155E-1,2.432583094E0
3.682454500E-1,6.768614769E0,-4.477293789E-1,2.382303476E0
3.702467830E-1,6.763826370E0,-4.405465722E-1,2.343995094E0
3.722481160E-1,6.759037971E0,-4.285751879E-1,2.334417820E0
3.742526490E-1,6.794951916E0,-4.333637357E-1,2.303292274E0
3.762537150E-1,6.806923389E0,-4.166038036E-1,2.238646984E0
3.782550480E-1,6.845231533E0,-4.022381604E-1,2.185972929E0
3.802563480E-1,6.871568680E0,-4.022381604E-1,2.171607256E0
